Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,_1,OBPM,DBPM,BPM,VORP,Player-additional
69,Kentavious Caldwell-Pope,SG,29,DEN,12,372,13.8,0.663,0.55,0.16,1.2,11.6,6.5,11,2.3,1,12.3,14,0.6,0.3,0.9,0.116,,0,0.4,0.4,0.2,caldwke01
70,Facundo Campazzo,PG,31,DAL,3,16,15.6,0.375,0.75,0,0,0,0,25.7,9.5,0,0,11.3,0,0,0.1,0.153,,-0.5,7.7,7.2,0,campafa01
71,Vlatko ?an?ar,PF,25,DEN,6,16,7.6,0.75,0.75,0,0,13.9,7,0,0,0,20,13.4,0,0,0,0.019,,-1.1,-2.8,-3.9,0,cancavl01
72,Clint Capela,C,28,ATL,14,383,20.7,0.605,0,0.235,16.9,28.6,22.7,3.6,1.1,4.6,10.9,15.9,0.8,0.7,1.5,0.186,,1.7,-0.1,1.6,0.3,capelca01
73,Vernon Carey Jr.,C,21,WAS,2,2,-7.9,,,,0,0,0,0,0,0,,0,0,0,0,0.014,,-15.2,-1.1,-16.3,0,careyve01
74,Jevon Carter,PG,27,MIL,13,353,11.8,0.543,0.514,0.112,2.9,6.3,4.6,17.6,2.9,2.1,15.1,15.6,0.2,0.7,0.8,0.114,,-2.5,2.6,0.1,0.2,carteje01
75,Wendell Carter Jr.,C,23,ORL,14,459,17.8,0.625,0.301,0.438,8.4,22.2,15.8,14.6,0.8,1.6,15.7,20.4,0.9,0.5,1.4,0.148,,1.2,0.1,1.3,0.4,cartewe01
76,Alex Caruso,PG,28,CHI,14,353,9,0.471,0.589,0.357,2.5,12.3,7.3,19.1,3,3.5,28.6,11,-0.2,0.6,0.3,0.046,,-3.2,3.3,0.1,0.2,carusal01
77,Justin Champagnie,SF,21,TOR,2,9,31.2,1,0,0,11.7,26.4,18.6,0,0,0,0,14.1,0,0,0.1,0.295,,7.1,0.3,7.4,0,champju01
78,Kennedy Chandler,PG,20,MEM,6,58,5,0.337,0.316,0.211,1.9,9.2,5.5,26.4,1.7,3.2,22.4,19.2,-0.2,0.1,-0.1,-0.094,,-4.9,-1.3,-6.2,-0.1,chandke01
79,Max Christie,SG,19,LAL,8,92,11.1,0.666,0.647,0.235,1.1,23.2,12,5.8,1.5,0,9.6,9.5,0.1,0.1,0.2,0.107,,-1.3,0.4,-0.9,0,chrisma02
80,Josh Christopher,SG,21,HOU,10,85,5.3,0.422,0.378,0.054,4.9,14.5,9.6,12.7,1.7,0,17.4,22,-0.2,0,-0.2,-0.099,,-6.7,-2.7,-9.5,-0.2,chrisjo01
81,Brandon Clarke,PF,26,MEM,14,253,18.7,0.666,0.059,0.435,5.5,17.2,11.4,11.1,0.8,4.4,14.4,19.4,0.6,0.3,0.9,0.161,,-0.4,1.4,1,0.2,clarkbr01
82,Jordan Clarkson,SG,30,UTA,15,455,16.1,0.552,0.506,0.152,5.5,9.9,7.7,23.4,0.5,1.4,12.4,25.7,0.6,0.3,0.9,0.098,,2.9,-1.7,1.2,0.4,clarkjo01
83,Nic Claxton,C,23,BRK,14,384,21,0.681,0.01,0.381,12.3,24.7,18.6,7.1,1.4,6.9,14.6,16.7,0.8,0.7,1.4,0.179,,0.6,0.7,1.2,0.3,claxtni01
84,Amir Coffey,SG,25,LAC,12,107,7.8,0.499,0.211,0.842,3.3,5.9,4.7,8.6,1.4,0.8,10.3,12.1,0,0.1,0.2,0.068,,-4.9,0.4,-4.5,-0.1,coffeam01
85,John Collins,PF,25,ATL,14,442,13.7,0.58,0.297,0.239,5.4,21.2,13.3,4.2,1.1,3.4,11.1,16,0.4,0.6,1.1,0.115,,-1.7,0.5,-1.2,0.1,collijo01
86,Zach Collins,PF,25,SAS,9,159,17,0.596,0.305,0.153,8.1,21.6,14.7,23.4,1.8,5.6,21.3,20.8,0.1,0.2,0.3,0.084,,-1.6,2,0.4,0.1,colliza01
87,Mike Conley,PG,35,UTA,14,424,14.7,0.536,0.563,0.227,1.3,7,4.1,35.2,1.6,0.8,13.5,16,0.9,0.3,1.2,0.14,,1.4,-0.4,0.9,0.3,conlemi01
88,Robert Covington,PF,32,LAC,8,119,10.5,0.579,0.68,0.32,2,22,12.6,10.3,1.2,4.5,14.9,12.5,0.1,0.2,0.3,0.114,,-3.3,2.6,-0.6,0,covinro01
89,Torrey Craig,SF,32,PHO,13,263,12.9,0.576,0.554,0.123,10.2,14,12.1,9.1,1.3,2.5,11.6,12.8,0.4,0.3,0.7,0.127,,0.2,0,0.2,0.1,craigto01
90,Jarrett Culver,SG,23,ATL,2,3,7.4,0.266,0,2,34.9,0,17.5,0,0,0,0,25.9,0,0,0,-0.092,,-2.1,-6.1,-8.2,0,culveja01
91,Cade Cunningham,PG,21,DET,12,400,14.9,0.492,0.272,0.192,3.1,16.7,9.7,32.9,1.2,1.5,13.8,29.4,-0.2,0.1,-0.1,-0.009,,0.4,-1.3,-0.9,0.1,cunnica01
92,Seth Curry,SG,32,BRK,5,97,15.5,0.581,0.675,0.125,1.2,8,4.6,17.5,1.5,0.9,4.5,20.4,0.2,0.1,0.2,0.122,,0.9,-0.5,0.4,0.1,curryse01
93,Stephen Curry,PG,34,GSW,13,449,29.3,0.692,0.573,0.29,2.3,18.6,10.7,31.9,1.5,0.2,10,30.9,2.2,0.4,2.6,0.274,,10.1,0.9,11,1.5,curryst01
94,Dyson Daniels,PG,19,NOP,5,47,21.7,0.717,0.417,0.5,7.1,19.5,13.2,17.3,3.1,4,17,15.9,0.1,0.1,0.2,0.221,,4.1,4,8.1,0.1,daniedy01
95,Anthony Davis,C,29,LAL,12,414,26.3,0.594,0.075,0.327,10.7,23.5,17,13,1.8,4.5,7.2,26.8,1.1,0.6,1.7,0.202,,3.8,0.7,4.6,0.7,davisan02
96,Johnny Davis,SG,20,WAS,5,30,0.2,0.381,0.143,0.286,3.8,10.7,7.3,8.7,0,0,11.3,13.1,0,0,0,-0.03,,-11.1,-1.8,-12.9,-0.1,davisjo06
97,Terence Davis,SG,25,SAC,11,139,16.7,0.592,0.679,0.264,4.3,18.5,11.4,14.4,2.4,1.2,7.8,20,0.3,0.1,0.4,0.14,,1,0.9,1.9,0.1,daviste02
98,JD Davison,PG,20,BOS,1,2,21.7,,,,0,55.1,27.9,57.8,0,0,,0,0,0,0,0.315,,3.8,6.3,10.1,0,davisjd01
99,Dewayne Dedmon,C,33,MIA,12,145,19.2,0.678,0.327,0.327,9.3,23.8,16.4,9,0.3,3.5,9.7,18.8,0.4,0.2,0.6,0.194,,1.1,0.2,1.3,0.1,dedmode01
100,Matthew Dellavedova,PG,32,SAC,3,29,7.1,0.571,0.429,0,4.1,4,4.1,18.1,1.6,0,22.2,13.4,0,0,0,0.037,,-4.8,-0.6,-5.4,0,dellama01
101,DeMar DeRozan,SF,33,CHI,14,473,21.2,0.608,0.089,0.513,1.2,12.1,6.5,21,1.6,1.1,10.4,27.7,1.2,0.5,1.7,0.172,,1.7,0.4,2.1,0.5,derozde01
102,Moussa Diabaté,PF,21,LAC,2,6,37.8,1.042,0,1,0,34.9,18.5,25.7,8.1,0,0,10.7,0,0,0.1,0.528,,7.6,11.6,19.2,0,diabamo01
103,Mamadi Diakite,PF,26,CLE,3,8,5.5,0.333,0.667,0,0,29.2,14.6,0,6.2,0,0,16.2,0,0,0,0.017,,-11.4,2.3,-9.1,0,diakima01
104,Hamidou Diallo,SG,24,DET,15,210,10.4,0.471,0.104,0.455,8.3,13.3,10.8,8.3,1.8,0.8,10.6,20.6,-0.1,0.1,0,0,,-4.2,-1.2,-5.5,-0.2,diallha01
105,Gorgui Dieng,C,33,SAS,7,64,15.3,0.593,0.81,0.19,10.1,16.1,13,25.8,0.7,5.1,23.5,19.2,0.1,0,0.1,0.081,,0.5,1.7,2.2,0.1,dienggo01
106,Ousmane Dieng,SF,19,OKC,9,135,6.8,0.407,0.611,0.056,2.2,13.6,7.7,13.5,0.3,1.3,7.5,12.2,0,0.1,0,0.016,,-3.4,-1.2,-4.6,-0.1,diengou01
107,Spencer Dinwiddie,PG,29,DAL,12,397,19.2,0.629,0.515,0.158,0.9,11.7,6.4,24,1.8,0.5,10.6,22.6,1,0.4,1.4,0.17,,3.8,-0.1,3.6,0.6,dinwisp01
108,Donte DiVincenzo,SG,26,GSW,6,90,3.9,0.606,0.667,0.333,0,9.7,5,14,1,0,34.8,14.8,-0.1,0,-0.1,-0.04,,-6.5,-0.7,-7.2,-0.1,divindo01
109,Luka Don?i?,PG,23,DAL,12,443,33.2,0.6,0.348,0.493,3.3,24.7,14.2,46,2.7,1.6,10.2,39.1,2,0.7,2.7,0.293,,9.1,3.1,12.2,1.6,doncilu01
110,Tyler Dorsey,SG,26,DAL,1,4,107.4,1.125,0.25,0,30.8,29.8,30.3,0,0,0,0,45.3,0.1,0,0.1,1.792,,43.1,9.4,52.5,0.1,dorsety01
111,Luguentz Dort,SG,23,OKC,14,428,12.4,0.499,0.449,0.278,4.7,10.4,7.4,10,2.1,0.8,7.1,20.5,0.2,0.4,0.6,0.071,,-2.6,-0.7,-3.2,-0.1,dortlu01
112,Ayo Dosunmu,PG,23,CHI,13,394,11.7,0.581,0.408,0.104,1.7,12.8,7.1,15.6,1.3,0.9,14.4,16.6,0.2,0.4,0.6,0.075,,-1.9,0.3,-1.6,0,dosunay01
113,Jeff Dowtin,PG,25,TOR,3,23,16.9,0.571,0.143,0,9.2,15.5,12.1,26,0,4.3,12.5,14.7,0.1,0,0.1,0.136,,-0.1,-0.7,-0.8,0,dowtije01
114,Goran Dragi?,PG,36,CHI,14,270,15.3,0.571,0.405,0.147,3.3,7.6,5.4,28.9,0.7,1,13.9,22.7,0.3,0.2,0.5,0.093,,1.8,-1.4,0.5,0.2,dragigo01
115,Andre Drummond,C,29,CHI,8,134,21.8,0.579,0.038,0.283,21.4,43.6,32.3,8.4,2.5,2,19,23.5,0.1,0.3,0.4,0.149,,-0.9,-0.4,-1.2,0,drumman01
116,Chris Duarte,SF,25,IND,9,177,8.8,0.524,0.535,0.169,2.5,9.2,5.9,7.2,0.3,2.1,9.5,19.4,0,0,0,0.012,,-2.1,-2.6,-4.6,-0.1,duartch01
117,David Duke Jr.,SG,23,BRK,8,77,8.6,0.512,0.148,0.111,6,8.6,7.3,9.9,2.6,1.2,17.5,20,-0.1,0.1,0,0.004,,-7.1,-0.4,-7.5,-0.1,dukeda01
118,Kevin Durant,PF,34,BRK,14,518,27.5,0.649,0.245,0.473,1.3,18.5,10.1,26.1,1.2,4.8,12.2,32.5,1.7,0.7,2.4,0.224,,6.5,1.3,7.8,1.3,duranke01
119,Jalen Duren,C,19,DET,12,254,13.2,0.534,0.018,0.491,13.7,22.5,18,2.4,0.8,4.8,15.8,13.5,0.1,0.2,0.2,0.046,,-2.6,-1.3,-3.9,-0.1,durenja01
120,Tari Eason,PF,21,HOU,14,253,18.6,0.525,0.272,0.184,12.5,16.4,14.4,9.9,4.1,2.5,9,19.8,0.3,0.3,0.7,0.123,,1,1,2,0.3,easonta01
121,Anthony Edwards,SG,21,MIN,14,505,13.1,0.546,0.399,0.235,1.6,14.7,8.4,15.7,1.4,0.5,13.8,26,-0.1,0.4,0.3,0.026,,-1.6,-1.5,-3.1,-0.1,edwaran01
122,Kessler Edwards,SF,22,BRK,6,16,6.7,0.3,0.6,0,0,13.8,7,16.4,3.1,0,0,14,0,0,0,-0.014,,-3,-0.2,-3.2,0,edwarke02
123,Joel Embiid,C,28,PHI,10,352,29.2,0.639,0.189,0.587,5.3,27.8,16.6,23.3,0.8,4.7,14.2,37.8,1,0.6,1.5,0.208,,5.4,2.1,7.5,0.9,embiijo01
124,Drew Eubanks,C,25,POR,13,227,14.4,0.705,0,0.452,8.8,15.6,12.3,7.2,1.1,3.7,16.6,11.7,0.4,0.3,0.7,0.154,,-1.6,1.6,0,0.1,eubandr01
125,Bruno Fernando,C,24,HOU,2,37,25.8,0.799,0,0.333,14.2,24.3,19.1,35.8,1.3,4.9,12.7,8.7,0.2,0,0.2,0.277,,5.8,5.1,10.9,0.1,fernabr01
